model,horizon_hours,SEASON,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
persistence,24,2025,154,10,487.3668063635377,464.8233236104751,764.325795967939,868.2676319282325,18.571428571428573,25.012983641488088,-3.5714285714285716,473.6938147177992,15.51095571095571,409.67305456136575,541.2691668939217,11.19173076923077,20.334543997668995
persistence,48,2020,283,22,883.6900949857691,908.6778894695198,1316.733184566071,1423.995858093,18.62190812720848,26.966803306387114,-0.3180212014134275,868.4722649763113,17.341338879975243,743.2045737420511,990.9470738800864,12.738019074780436,23.028787578162575
persistence,48,2021,191,14,972.7138630307848,951.3024788008928,1371.0000043152388,1628.4638618335998,18.06282722513089,26.407994981688397,1.675392670157068,943.7164983331136,16.659002252699196,788.1218986856926,1121.491045995283,10.318670324087345,24.903190573574697
persistence,48,2022,109,8,738.2378830337432,708.2163221113947,1033.5466276864013,1133.3292636213969,21.880733944954127,27.912872305926747,-6.376146788990826,706.9068950583968,20.33926191090471,555.704959585679,840.2065975553554,12.615801164215688,30.110432657163724
persistence,48,2023,252,15,753.082544550653,745.30080728468,1122.613027485085,1303.6641252207464,15.357142857142858,20.5093861593886,-3.492063492063492,857.9586939113218,14.372489471703956,746.074055905649,988.2115359305548,10.476662823439527,18.681012268197406
persistence,48,2024,163,14,906.1893582673056,871.1988343357556,1503.3527801666196,1586.6445287283784,25.766871165644172,31.705121414786923,2.331288343558282,832.6830129434478,24.148854535764706,658.4729542108532,1016.9446639201292,18.130873384971046,30.79359857978278
persistence,48,2025,117,8,903.1006103348695,904.3180526590248,1414.764858996922,1524.7720930734472,33.675213675213676,41.78700570935714,-10.683760683760685,941.1854589444032,25.506362889983578,783.0623268518323,1083.8002931687447,14.392447916666669,36.515701970443345
ridge,6,2020,466,29,27.51242039439251,21.67338591909209,53.512658124462654,66.52797064986096,4.162624803370112,6.235195117776021,0.1091829165369271,27.041191245052637,4.524306561195598,24.026247632912497,30.192981050367223,3.7135284375422257,5.499499279197297
ridge,6,2021,299,19,26.284096147023817,21.028966483842293,53.64688260932055,66.67387863311275,3.899439690341517,5.659899241992896,-0.0031168493739439,32.55060776568217,4.431879200476824,24.832308812745687,41.46933065068339,3.413949182962717,5.645059825939933
ridge,6,2022,183,14,30.25085939650757,23.20386208455859,58.72061220890194,73.11004024039138,4.103944259199318,5.724474725265389,-0.512926894423247,32.98661152611408,3.620324684252717,26.217833963748436,40.72019638029114,2.7171468717039753,4.567858193373293
ridge,6,2023,369,17,23.958782978101013,19.542225673421168,46.14637560414002,59.058507170027234,3.162511669947268,4.574326652032291,-0.0835332312995652,25.51420939987491,3.1063442715524907,22.092577373830753,29.049997727716637,2.5542994697747874,3.853503356844541
ridge,6,2024,267,15,25.94918278983511,21.87468653754231,48.875310449418045,62.02135179950674,4.75433220415207,7.012515374407841,-0.1057620115010899,28.50623137845378,5.1076830942196745,25.10877301387826,32.452997139461935,3.579354787415925,6.751611413253706
ridge,6,2025,188,13,25.516349706238636,22.294059487578288,46.289402069026885,52.71741744634319,4.418889569287256,6.525335946336964,-0.9556258448213776,26.298124143668733,4.029230441473825,20.82326879243687,32.505545109076195,3.0218956723241788,5.0253549656540555
ridge,12,2020,435,27,67.42738428586118,53.24023700423673,132.12953570528123,168.4936103478338,7.940822643376248,11.851488356935477,0.2684211040449145,67.65954823881782,8.157091837776862,60.61036307665093,75.20772796467054,6.649652775418759,9.661221275388392
ridge,12,2021,279,16,61.42110678973958,50.442619633155246,121.44843977483129,159.67589752204523,6.8927826789075946,10.136922233868107,-0.2137991360629733,59.29245136353525,6.904129694038328,51.90163588835835,68.28960253412562,5.396282255470598,8.540236414973545
ridge,12,2022,169,11,68.34237471931735,51.97828950125475,133.930172292516,170.06298548594637,7.440026684253437,11.091722407642422,-1.4391318427442648,84.30966415639222,7.005100414054744,59.90070534884752,120.65032809154428,5.111973819240207,8.998907400553815
ridge,12,2023,351,17,57.70863696438479,48.22403240984655,107.52017599217044,133.555304827711,5.514856739477248,8.184696301091687,-0.1908012397088534,61.34207101710781,5.418054584862524,51.7155216553183,72.72148138550921,4.301968194543784,7.001695956946775
ridge,12,2024,252,15,59.32183620503884,51.138838994923326,109.08823530794064,131.89595259474007,9.01398416696387,13.248915178340134,-0.1566006591774904,66.10210853298302,9.90450052276107,58.31642189265607,75.21946101026155,6.864143720010462,13.54206477802453
ridge,12,2025,175,11,59.50322697629471,52.759918491285376,110.43827540818658,127.38303703221308,8.385273822736316,12.286242047489912,-2.545285984801712,60.64223050922714,8.48848849754141,48.88907417489018,74.46783405787781,6.286145201706042,11.057842615967155
ridge,24,2020,379,25,168.19490851143922,136.06637650526184,325.19149113705174,424.6427151496976,13.57358217919907,20.006090338646455,1.0197263509593395,169.0233923785805,13.579674625565849,145.37416207772912,196.6239157001917,10.704595157109509,17.061760617598793
ridge,24,2021,247,14,156.3045104831018,127.86849985977102,318.8420507906209,424.9104559214733,11.96106326756094,17.05630234258492,-0.3660854856372566,154.97020889647484,12.781765198736682,130.30404168254842,184.1723869084422,9.950845329525018,16.375050501064695
ridge,24,2022,147,10,151.51936214760897,120.51409143909956,303.3133381108804,352.86209738917984,13.05497895944395,17.865499896731034,-3.5849755712782145,158.38286788307389,12.31565176613658,120.47719054199146,197.09365879647433,9.068324017912394,16.141338921984364
ridge,24,2023,316,15,148.5146018257455,130.2709145234717,265.8822296824109,310.1224973509187,9.562009459461404,13.578795669861588,-0.4309829921256879,155.69356704414852,10.025167729264972,137.1704881465662,171.88239651405178,8.15438751048451,12.50076226462231
ridge,24,2024,222,15,137.3061475252972,120.06777811646684,266.974308157949,309.5084290453517,14.736446036596854,19.93066072749047,-0.9623810836304344,150.22383964452357,16.22804165028934,124.12857094964184,183.5413615632411,12.27006775054504,20.46011946621467
ridge,24,2025,154,10,148.2071218481758,139.55773479192152,262.6802627831187,304.2472098347572,16.055964482754348,21.853628661422466,-6.270157980167855,160.312878063682,14.504378863927396,118.06320441447043,210.64144790263373,11.408200824844116,17.921245670160125
ridge,48,2020,283,22,389.2627353813117,344.74800874590244,721.4727394843188,901.1501041199308,17.918105542898275,24.72450427486404,2.833820238210428,372.3195005290908,19.15431675146598,309.58580657019684,435.6245333663999,15.181664805050016,24.05479511374282
ridge,48,2021,191,14,345.9147731680597,282.16569285130987,622.3426809426659,781.5316361759442,16.450331674239543,22.797627685697854,-0.1017036623116774,322.34512112853696,18.10038781180487,245.8153216650093,404.7075654844179,12.495230422237904,24.30868960912943
ridge,48,2022,109,8,338.5323230607651,246.6575176772428,791.0907186332328,919.20130903,20.682587550560065,25.15720810288849,-7.427239328455446,425.9751644808234,20.49087791223269,280.5420435075113,585.9644380668694,13.548521548949202,27.36364721649955
ridge,48,2023,252,15,380.5362680954511,327.5669895998199,643.7563293564683,823.0133068432021,14.05640355212968,18.256238409831234,-1.4681174245019166,419.9886024221635,15.419443909194294,359.9926963963953,477.9133971279936,12.560963922875969,18.062778801169827
ridge,48,2024,163,14,330.0715301737485,298.94376551963364,577.241686359253,749.3603143852158,20.464146070053324,24.86892261004669,-0.0480576540412206,376.4739897115884,22.767927273620888,308.65708164610453,456.2178199294473,18.9725024707198,26.88212355694008
ridge,48,2025,117,8,363.1144540626571,334.3907049711391,714.2441959070569,795.203318114806,26.103777266447153,34.057464509367506,-14.700036345561678,316.2523448395623,21.92028593561677,207.30927275490572,422.2425897677051,14.85914480165114,28.53326183064437
